"part","FX_Thing","partnumber","testTime","testMonth","testDay","testYear","testHour","testMinute","metricName","metricispass","metricValue","yearWeek"
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,A2 78 TSwp Coast Grms,1,0.001999,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,A1 78 TSwp Drive Grms,1,0.005531,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,A1 243 Tswp Coast Grms,1,0.055893,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,A1 243 Tswp Drive Grms-600Nm,1,0.207515,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,A1 TSwp Coast High Order Limit,1,-1.000000,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,A1 TSwp Drive High Order Limit,1,-1.000000,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,A1 TSwp Coast Low Order Limit,1,-1.000000,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,A1 TSwp Drive Low Order Limit,1,-1.000000,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,PosTorque Bias Range,1,196.217010,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,PosTorque Bias Range,1,196.217010,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Torque Sweep Phase Gate Fault,1,0.000000,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Stator Temp Delta,1,0.000000,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Torque_Range_Satisfied,1,1996.123779,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Input Gear Clicking,1,2.493534,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Intermediate Gear Clicking,1,2.386213,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Output Gear Clicking,1,2.389541,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Coolant Flow Rate,1,19.565844,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Coolant Pressure,1,31.556492,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,"Coolant ""Power""",1,11.990647,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,RPM Inverter Side,1,617.945251,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Torque Inverter Side,1,274.457794,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Intermediate Gear Clicking Negative,1,0.076181,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Intermediate Gear Clicking Positive,1,0.074415,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Input Gear Clicking Negative,1,0.009980,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Input Gear Clicking Positive,1,0.008487,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Output Gear Clicking Negative,1,0.198676,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:25:35.000,5,31,2024,17,25,Output Gear Clicking Positive,1,0.071837,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,Motor 1st Ord Max,1,0.121963,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,Motor 2nd Order Max,1,0.027551,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,Motor 1st Ord Avg,1,0.073849,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,Motor 2nd Ord Avg,1,0.014644,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,Motor 3rd Ord Avg,1,0.010164,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,Motor 4th Ord Avg,1,0.052240,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,Growl 4-6,1,0.070053,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,DI Alert,1,0.000000,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,Motor 3.6th Ord Avg,1,0.011544,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,CH/Input Bearing Race Defect,1,1.182748,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,CH/Input Bearing Ball Defect,1,1.180443,22
P1025598-00-U-ST13D0013400,P1025598-00-U:ST13D0013400,"1025598-00-U",2024-05-31 17:24:26.000,5,31,2024,17,24,CH Inter Bearing Race Defect,1,1.458305,22
